name	team_name
Blobstore - (prod) manager	Core Storage & Database Engineering
Blobstore - (prod) metadata	Core Storage & Database Engineering
Cassandra - cassandra.prod.dev1	Manhattan/Cassandra
tcc-zookeeper	TCC
darkwing-exporter	Data Services
search_deploy_error_monitoring	Demand Services
Data Services - Success Rate	Runtime Systems
byan test	Demand Services
Log Pipeline Overview	Analytics
rc-incident diagnositic (Work in progress)	TCC
Macaw Typeahead (canary)	macaw-search-team
stddev_memory_debugging	Demand Services
Blobstore - (prod) tfe	Core storage & Database engineering
Cassandra - cassandra.prod.chubbysnipe-lastlogin	Manhattan/Cassandra
Cassandra - cassandra.prod.stolen	Manhattan/Cassandra
Macaw-Typeahead (Viz Test)	Platform Services
Expert Search Shard	Search
photurkey_upload_debugging	Demand Services
TBird	Data Services
Blobstore - mesos-nonprod	Manhattan/Cassandra
Mobile Web Test Maxb	Mobile
Blobstore - (devel) tfe	Core storage & Database engineering
Trends Backend	Trends
zookeeper ensemble role:szklowsla	SRE
Monorail Default Route Use	Security
Blobstore - (prod) kestrel	Core Storage & Database Engineering
Query Rewriting	Search
Unified Cache Dashboard	Hardware Eng & Demand Svcs
TFE CPU	Hardware Eng & Demand Svcs
gmac	Operations Engineering
Rack ASC load	Datacenter
Trends CTR	Trends
test-ck	Network Engineering
Cards (In-Tweet Media)	Platform Services
Blobstore - (devel) metadata	Core Storage & Database Engineering
storybird	Discovery
Promptbird Production	Eng - Activation & Messaging
Core App Services - SMF	Platform Services
Hummingbird::High.Collection.Time	Runtime Systems
Chris Test Utilization	Runtime Systems
Cassandra - cassandra.prod.dev2	Manhattan/Cassandra
Woodstar (Staging Tap)	Platform Services
Top Stories Topology	Discovery
audubon.role.cache.search.smf1	Runtime Systems
audubon.role.ads.cache.smf1	Runtime Systems
audubon.role.limiter.cache.smf1	Runtime Systems
audubon.role.misc-cache.smf1	Runtime Systems
Hummingbird::Kestrel2 timeouts	Runtime Systems
Penguin as a Service (Staging - SMF1)	Eng - international
Cassowary Twemcache	User Discovery & Personalization
Manhattan - manhattan.prod.revenue	Manhattan/Cassandra
Penguin as a Service (Production - SMF1)	Eng - international
spiderduck data read rollout	Manhattan/Cassandra
spiderduck data read and gc rollout	Core storage & database engineering
Traffic Report	Platform Services
Cassowary Service	Personalization and recommender systems
Cassowary Service Total	User Discovery & Personalization
parrot template	Platform Services - Developer Productivity
Spend Aggregator (Prod 2)	Revenue Eng & Product
Spend Aggregator (Production)	Revenue Eng & Product
Monorail Request Count Showdown	Platform Services
Thrift Service Proxy Monorail	Platform Services
Twitterweb Compare (smf1-alq-38-sr1)	Platform Services
Hummingbird::Sample Size	Runtime Systems
app-app utilization	Infrastructure Automation
appapp	Infrastructure Automation
TwitterWeb Swift Thresholds	Hardware Eng & Demand Svcs
twitter-daemons in the monorail	Platform Services
Contact Fetch Daemon	Growth
Gizmoduck/Darkwing User Repair	Core Services
